NU_INSCRICAO,NU_NOTA_MT
c363bec718e45cd6bf8cba599cc3990d77f95c22,718.6116467916916
084d4e847b3809c6ee6622dd2e095156230f471b,696.2813215861524
328ca19128d276eb4fbc309c54ec7f346c803d2f,695.4000133988991
e6375694613198f8db0720d7a8a04d8263116116,683.7937791975099
d3b6eab5a3d56dc9823cf355b3ac1f647378fd4c,679.7958855918944
34333ed47110024961ff7a95cc92900ab6fbdd33,680.1876678508639
687448d804c924b64fb61ba94b1846007d6ab904,670.0393516200514
1c6cbf69a4c9bb53f3ca9c5417965c00e9f4404c,667.191306186053
e6c93e838e090b96a97db0a212e3d5ad7e67a8c4,656.3801783161252
9027f65d4e576928ca59690c280050c53d66506a,671.3198490287975
fe8333dd7a48c2c6da19394b93e6413b2d969588,646.9627732209318
45eab0d008b4971810ca4b2d7b735916d9991a9a,670.6633752194743
7a5c90afaff8a6169ef1ea72181606d79b9d6378,672.0277911492705
c759ad904d22197f1cf3b5ef9e41ee1609513cea,654.3307057095013
ef5f221a0c4ed1747aa949dba2f629e98f3a9438,672.8444014257634
890014a4e63d88574c62197a24fd43ba5749db83,677.5106678178216
b434f8f1723aa06a245cc52f60dbe0036d00d227,673.3561380412668
729dbf9ac607943285cf9cabf80503f9e1112cb0,647.1606230970526
6d4bee056abcea733d36060113427081daae72d1,640.6827363483228
2abaa7d3759d277dd920da6e8099939c1f794be0,629.9228679243527
e7cfbcd18b8d3896bbe80fa618467f11c1e5c119,659.1205688795633
34d6082a74330b3f5bc565fc573674afaa03f661,650.390897327829
3b6f2590bb08848ae5b7cd08a41d1cc6a628c1f6,653.9515260792647
54899865c8bed8eb4d54c8d4c8ae09a30864290c,664.4271162027962
70b2ac7ae59de6f956386af9c59c9a1897d5a29c,646.2562119633582
b92a00df35857e1e964b609040127c05ced17c99,650.3170807711217
bb4ec0a4a66bea29328f27b05364af97a510cee0,650.2689930608556
9a19fa424c24bcf26acaff7689426292c304885f,622.0913576227579
b3745024b7fa89bbf4e246f75fcb23e1f42c16fb,635.257444158398
77bc9ff2fdd54be8bebaa4eae19fed3c6c6b3955,659.1811419792517
58373722411945d7bdef5cb5ede4459a9edcba13,647.3003614756575
67e4d2195af1d4908c534532a337a853f0b3eba5,639.0932279950144
8c408798149631973f52a14f363b604349f3425d,624.2786521070861
47f77c8edf0812b4dc1a2279f060e79c1d40b791,617.8328252270177
69a3189b5b0101904ef73a8b665a3867ac68a1a4,643.672429881166
766e74a2b847193a0e72fd9ca7a5488467b4001f,638.1279110930471
a6fec1f8773ba19000f5a316d4bc0cacf1a3ad51,626.733976694107
f1f40995a03ec646ede76673c4058d4286ee5d86,651.5743202533148
3b08ec5615162eeef39ddf97c305601f8d6be53c,620.8674809725911
b54748a3cdd15981638e22a2b22b1711a49f8acc,638.8006610191989
d25fe8e0d24e9248b2dd134f5ac661ac66fa786e,618.7114818850869
c8feec2a94d996d03534ce935dec7a034667f107,641.5485899218467
d8788a6c3e384b392b77f519451fed79c34453a2,647.3767871574436
